participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0512,21.25,female,high,3.5,1.25,-0.757150225741696,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0513,21.25,male,medium,3.5,1.75,0.0794031468829401,2,-1.01142350762028,6.66666666666667,1.40838942446142
sub-0517,23.25,female,high,4.0,1.25,-0.757150225741696,2,-1.01142350762028,6.0,1.00864381995134
sub-0520,23.75,male,high,6.0,1.75,0.0794031468829401,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0521,21.25,female,medium,3.5,1.75,0.0794031468829401,5,1.30085853509739,5.33333333333333,0.608898215441253
sub-0522,21.5,female,low,3.0,1.25,-0.757150225741696,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0525,21.5,female,medium,5.0,1.25,-0.757150225741696,5,1.30085853509739,6.33333333333333,1.20851662220638
sub-0526,21.25,male,medium,2.0,1.0,-1.17542691205401,3,-0.24066282671439,6.0,1.00864381995134
sub-0529,20.25,male,medium,4.5,1.75,0.0794031468829401,3,-0.24066282671439,6.66666666666667,1.40838942446142
sub-0530,20.25,male,high,6.0,1.5,-0.338873539429378,4,0.530097854191498,3.0,-0.790211400344042
sub-0531,23.0,male,high,5.0,2.5,1.33423320581989,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0532,21.0,male,medium,2.0,1.25,-0.757150225741696,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0535,23.75,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,7.0,1.60826222671646
sub-0537,24.25,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,6.0,1.00864381995134
sub-0538,22.75,male,high,6.0,2.5,1.33423320581989,4,0.530097854191498,1.33333333333333,-1.78957541161925
sub-0539,25.75,female,medium,5.0,1.0,-1.17542691205401,1,-1.78218418852617,4.0,-0.190592993578915
sub-0542,20.75,male,high,3.0,1.0,-1.17542691205401,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0543,25.5,female,high,4.5,3.25,2.58906326475685,4,0.530097854191498,,
sub-0544,23.75,female,medium,2.0,1.25,-0.757150225741696,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0546,24.75,female,low,3.0,1.0,-1.17542691205401,1,-1.78218418852617,4.33333333333333,0.0092798086761266
sub-0549,23.0,male,medium,4.5,2.0,0.497679833195258,5,1.30085853509739,6.33333333333333,1.20851662220638
sub-0552,21.0,female,low,5.0,1.25,-0.757150225741696,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0553,23.75,male,high,3.0,2.0,0.497679833195258,5,1.30085853509739,6.33333333333333,1.20851662220638
sub-0554,22.5,male,high,3.5,1.75,0.0794031468829401,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0555,21.0,male,low,4.0,2.25,0.915956519507576,4,0.530097854191498,1.0,-1.98944821387429
sub-0557,25.25,male,medium,2.0,1.75,0.0794031468829401,5,1.30085853509739,2.66666666666667,-0.990084202599084
sub-0559,20.25,male,high,4.0,2.75,1.75250989213221,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0560,24.75,male,high,3.0,1.5,-0.338873539429378,6,2.07161921600328,2.33333333333333,-1.18995700485413
sub-0562,20.25,male,medium,4.0,2.0,0.497679833195258,5,1.30085853509739,7.0,1.60826222671646
sub-0564,22.5,male,high,2.5,1.75,0.0794031468829401,5,1.30085853509739,1.66666666666667,-1.58970260936421
sub-0565,25.0,male,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,1.33333333333333,-1.78957541161925
sub-0566,22.0,female,medium,4.0,2.25,0.915956519507576,2,-1.01142350762028,5.0,0.409025413186211
